collocate,raw_frequency,MI
orisons,1,8.998361119161967
thoughts,1,3.9294569169417346
interview,1,5.08633811373382
giving,1,4.77885341398586
kind,2,3.772614445448765
thing,2,3.9294569169417346
fond,2,5.684175114489441
counting,1,6.513454469373966
house,5,3.9930734313923057
domestic,1,5.472000594545805
dream,1,5.237161003468404
haunted,1,5.443013057672553
lately,1,5.1697197226728715
told,1,2.677592824911384
happened,1,4.23618718436421
next,2,4.240469846156211
morning,1,3.014424838474776
left,1,2.6544806850356353
right,2,4.035516488902059
tell,1,2.544736120269275
engagement,1,5.82030728881402
this,3,2.1084304250923815
softened,1,6.433411761700429
promised,1,4.77885341398586
would,3,2.583264159990371
suited,1,6.513454469373966
seemed,1,2.5015861289761037
echo,1,7.206601649933911
reasoning,1,7.899748830493857
vexed,1,6.695776026167921
any,3,3.088468225747796
bad,1,4.154174032703375
company,2,5.472000594545805
started,1,4.316229892037747
only,5,3.562022454716555
came,1,2.1937465990993426
last,1,2.468942280899741
night,2,3.1533684759542417
scoundrel,1,5.9073186658036505
levison,1,7.388923206727866
means,1,3.8450695246641873
something,1,2.7678796715834846
more,3,3.0390754704182195
than,2,2.7948139680991995
quiet,1,3.5690154902075255
fortnight,1,5.472000594545805
old,2,2.785755023410448
vested,1,8.998361119161967
common,1,4.3349220250499
execute,1,7.899748830493857
commissions,1,8.998361119161967
new,1,3.0902781809930353
sensation,1,5.631065289175492
airy,1,6.695776026167921
chintz,1,7.206601649933911
curtained,1,7.899748830493857
bedchamber,1,7.388923206727866
set,1,3.6001984176442132
devoted,1,5.387443206517742
himself,2,2.9450961711485375
resolutely,1,6.053922139995526
business,3,4.1515527992235
graces,1,6.91891957748213
pleased,1,4.6676277788756355
should,3,3.221741320553499
show,1,4.344400769004443
gracious,1,6.359303789546708
affectionate,2,6.801136541825747
brief,1,4.393190933173875
note,1,4.579520511365368
delivered,1,6.433411761700429
following,1,4.735681242120651
effect,1,4.55570986267165
dear,2,3.756614104102324
result,1,4.52102430468376
there,4,2.628460136333739
true,1,4.29788075336955
written,1,4.603911964489527
switzerland,1,6.91891957748213
excruciated,1,8.998361119161967
hear,1,3.6230827114778013
comments,1,8.305213938602021
marian,2,3.5911893477018473
conduct,1,5.047117400580539
perceive,1,6.002628845607975
dearly,2,6.858294955665696
say,2,3.1635503820993613
nothing,1,2.5898323281024678
makes,1,4.764254614564707
profit,1,5.631065289175492
ineligible,1,8.305213938602021
connection,1,6.16514777510575
off,1,2.8100969960793765
excuses,1,6.359303789546708
hitherto,1,5.82030728881402
subjected,1,8.305213938602021
thereby,1,7.052450970106653
listers,1,6.513454469373966
putting,1,5.047117400580539
reproachful,1,7.206601649933911
letters,1,4.46576162600871
second,1,4.288830917849632
motive,1,5.779485294293766
going,1,2.860634065075732
grateful,1,5.414842180705856
forbearance,1,7.612066758042076
chapter,1,3.547322665596266
xxiii,1,7.612066758042076
called,1,3.5690154902075255
account,1,4.793668499771
over,1,2.308761849983
am,2,3.0412292511344896
return,1,3.904610918355204
cheerfulness,1,6.433411761700429
table,1,3.3564540482238527
felt,1,3.1234303883099357
eyes,1,2.41356972677625
pitiless,1,6.290310918059756
scrutiny,1,6.91891957748213
resignation,1,6.290310918059756
want,1,2.8802639211206182
seriously,1,5.53262521636224
ought,1,4.210869376379921
without,2,3.6161622686332273
fear,1,3.95493600224272
spite,1,4.393190933173875
hoodwink,2,8.998361119161967
don,2,2.886893779659288
wish,1,3.534529314136356
rather,1,2.85632371357461
hard,1,3.5778261198896804
allowed,1,5.08633811373382
concerned,1,5.666156608986762
own,1,2.4204997614409196
sometimes,1,3.948505111912429
husband,3,4.219237626050437
place,1,2.6830031176396316
beloved,1,6.359303789546708
mystery,1,4.579520511365368
fate,2,5.158908806568656
awful,1,4.8087063771355405
wild,1,4.413393640491394
way,1,2.353270149656322
favourite,1,6.053922139995526
sir,1,2.4602212953942963
or,3,2.795151065692144
lady,2,2.7359156913256144
has,2,2.9345759104743583
kep,1,7.052450970106653
bosom,1,5.360774959435581
family,2,5.10654082105134
wrote,1,4.46576162600871
telling,1,4.680873005625656
particular,1,4.694296025957796
detained,1,7.052450970106653
talboys,3,4.110521402545638
moment,1,3.037355779538693
during,1,4.00792853238323
ventured,1,6.002628845607975
toward,1,4.764254614564707
female,1,5.862866903232817
figure,1,4.749865877112607
window,1,3.517722195819975
doubt,1,3.6802411253177496
know,1,1.8803449146966331
surely,1,4.3349220250499
played,1,4.920823675256247
beneath,1,4.937918108615547
these,1,2.8371537974668897
dark,1,3.239459345284686
trees,1,4.1231637959608145
knew,1,3.0068965720539844
affection,2,5.457401795124652
disadvantage,1,7.052450970106653
pity,1,4.603911964489527
lost,2,4.610103934737449
watchfulness,1,7.388923206727866
suspicion,1,5.30948166504803
sitting,1,3.923187303928139
opposite,1,4.532453000507383
existence,1,4.694296025957796
first,1,2.60143146394582
pipe,1,4.920823675256247
idea,1,3.948505111912429
thinking,1,3.8863733308054234
preposterous,1,6.695776026167921
idiot,1,7.899748830493857
frequented,1,7.899748830493857
spots,1,6.695776026167921
whole,1,4.042534061560706
extent,1,6.225772396922185
gravely,1,4.991027933929495
may,2,3.4649716304344462
madness,1,5.443013057672553
law,2,5.5483735733303785
setting,1,5.631065289175492
once,1,2.7273726873036668
face,2,2.928778792790032
missing,1,5.472000594545805
generally,1,4.694296025957796
done,1,3.157719461788568
rich,1,4.4985514488317015
living,1,4.262162670767471
luxury,1,6.513454469373966
respectability,1,7.388923206727866
wife,1,2.82875038667051
loved,1,3.7305029600986384
noble,1,4.855226392770434
hearted,1,5.191698629391647
worth,1,4.793668499771
having,1,3.468932031650543
cottage,1,4.544013822908458
lives,2,5.517121029826274
sister,2,5.297059145049473
happy,3,5.015569042845613
uncle,1,3.8566975626593063
estate,1,5.597163737499811
man,1,1.735732518187725
